EmbeddingSimilarity,nll-test,
1,-0.015088946756670904,1.3398346,
6,-0.012402077430086813,0.9385236,
11,-0.011961119766257512,0.8272357,
16,-0.011787349303358573,0.77155226,
21,-0.012045184175711997,0.7221959,
26,-0.012744850112610364,0.7001739,
31,-0.025037346231795942,0.70901185,
36,-0.014199286976702308,0.6537024,
41,-0.011741457814809128,0.6534928,
46,-0.016270214385510934,0.6667357,
51,-0.011236346542810506,0.6441524,
56,-0.011402973627492699,0.6416405,
61,-0.011078616885305178,0.64249605,
66,-0.011157970161949493,0.65030074,
71,-0.012392236713524744,0.6513941,
76,-0.010931268227725765,0.63274586,
81,-0.012180198407911895,0.6101662,
82,-0.011787307547093043,0.6012032,
83,-0.012365349927418785,0.5970786,
84,-0.012684445072574425,0.5945483,
85,-0.013068851077760351,0.5911081,
86,-0.013739940670821113,0.59058815,
87,-0.013988246802927689,0.59003603,
88,-0.013276263444779987,0.5876613,
89,-0.01342763056148885,0.5842335,
90,-0.01364131225426923,0.5858044,
131,-0.012724967805224063,0.6017621,
132,-0.011658097483623826,0.584241,
133,-0.0113950833170972,0.57715863,
134,-0.011107192617455273,0.5760225,
135,-0.011044013819033619,0.5746997,
136,-0.011046847884767131,0.5730404,
137,-0.011337792584650319,0.5736619,
138,-0.011477058097867641,0.5737407,
139,-0.011440363697978994,0.573784,
140,-0.011318555687383684,0.5755527,
