epochs, EmbeddingSimilarity,nll-test,
1,-0.018701729419858273,1.5550382,
6,-0.013352077524713247,1.1153965,
11,-0.0120568382730482,0.9752379,
16,-0.011268508080068603,0.8951396,
21,-0.011110178840060771,0.8522915,
26,-0.011574015912785408,0.8242775,
31,-0.011055658840364566,0.80618757,
36,-0.011065163918107204,0.7879425,
41,-0.011379519026441166,0.77778643,
46,-0.010864700993729538,0.7692475,
51,-0.011134458023722656,0.7621005,
56,-0.011350145942058564,0.7582952,
61,-0.011137079241727462,0.7537296,
66,-0.011208099400930958,0.75021166,
71,-0.011103095047226128,0.7499114,
76,-0.011272056796052447,0.7440389,
81,-0.010949340293725088,0.7409648,
86,-0.010466462405279755,0.7845078,
91,-0.010659614040273676,0.8343013,
96,-0.011471784364572668,0.8715477,
101,-0.011570492514078773,0.89060956,
106,-0.012034446631960462,0.8896854,
111,-0.012759362014857039,0.8803982,
116,-0.013696388049259777,0.88168746,
121,-0.014286539006016069,0.8974698,
126,-0.014856134301676026,0.92265964,
131,-0.01514235976802035,0.947137,
136,-0.015243293333923647,0.9635436,
141,-0.01486192126453049,0.97735476,
146,-0.015033452967860234,0.9916043,
151,-0.014117712788161265,1.0056027,
156,-0.01392464206108968,1.0061628,
161,-0.013690184388058038,0.9992157,
166,-0.014319953879489833,0.9954617,
171,-0.014763011367564478,0.99591434,
176,-0.01403897215932109,1.0031626,
180,-0.014386226088296835,1.012688,
